,nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle,length
10,446.10059423574194,454.1517979818857,444.15186367630076,463.4404651477468,434.5305689660082,474.03094638864144,428.38778808956516,486.2610201105852,407.88035649247195,464.65671805711946,409.24162594028604,469.63359203593694,428.63210601579914,488.82333695977087,420.446239998578,494.8202179091115,407.216202281028,0.0
11,446.2324145290154,454.47546359511404,444.2184835946932,463.7504180862858,434.4730659756937,475.08440139566454,428.67784973416605,487.58172816011563,408.1126229228095,465.33013263039214,409.9690403024297,468.72520526132115,428.9135361284593,481.9532265741085,419.8099267287913,494.65169558022035,407.1349546707403,0.0
12,446.6454057849357,454.71113400508887,444.6466885208198,464.44941165011494,434.4178167742748,475.4185120807892,428.7592745323238,488.24761990097977,408.3981559039225,469.60229133957387,422.8023652619451,468.8461092853971,429.129695807311,482.23675165275586,419.7541067681731,494.7982398113914,406.92052265864424,0.0
13,446.4609889218924,454.73650145849535,444.79299060657155,464.86942376282735,434.2782945051944,476.4493972302192,427.61763642128295,491.0711681258271,408.79859640906506,468.3166025510337,425.7829128225704,469.46663412969855,427.3098042957142,482.12076399691216,419.6786757493267,494.8207688579588,406.79478932985757,0.0
14,446.31684437903397,454.65733368010615,444.6376189505363,465.1616837613473,434.6473285453989,477.7037360090735,427.7936108434714,491.6985879929247,409.1909794573621,470.06301449099766,424.2236105931638,468.6693519716986,427.081899203659,481.84522155489645,419.77785878514464,494.66591890286907,406.6973329405197,0.0
15,446.4259696609021,454.72721167871896,444.63715574539435,465.0234513757488,434.6095581961599,477.8324635067808,427.7055216048129,492.0308482381246,409.06434148417185,470.1578497922084,424.22776651595007,468.7496469846275,426.98946495112835,481.9431788995751,420.0656839855359,494.8086901547119,406.57946389639005,0.0
16,446.9229119174725,455.346013617551,444.24039299385333,465.09775601028514,433.58315057952905,477.3297325463033,428.2970502153371,491.27275962886273,408.8741212932706,470.13339038412425,424.85411101251975,469.03820814384926,428.5143716480544,488.4613268371854,420.8414009173593,495.36076606648464,406.8371974270553,0.0
17,446.67382658325016,454.7304393207159,444.41045661914933,465.19677716236765,433.6904451680573,476.7578445820008,428.5103367979778,492.0593370548152,408.58619406531506,466.86275261118016,424.8950485524239,468.98050815531263,428.678801991433,488.44294419083167,420.92399291085275,495.40344283626837,406.9291157602024,0.0
18,446.343479694973,454.94473053477316,444.0950662916164,465.29114041604754,434.0177254584711,477.2941109825917,428.42789172417696,490.99577859819027,408.7572779662542,470.12634095961414,425.118305268649,468.91747688644887,428.7677809104523,482.8350739386957,420.9856631320086,495.32189016356335,406.90845653879694,0.0
19,446.3674765780989,454.99036882465697,444.087580189131,465.6292720074817,433.97624789517135,476.68910453082196,428.44038125841615,492.3866904543555,407.63126775733076,466.0305641026943,425.7220377362324,468.82472226736627,428.76120489384056,482.8025611548686,420.94208851965897,495.29237086847314,406.8366641629858,0.0
