leftHip,rightHip
-1.4187974136528236,-1.488922833737523
-1.4188303826172728,-1.4888321034054974
-1.418863351581722,-1.4887413730734718
-1.418896320546171,-1.488650642741446
-1.4189292895106203,-1.4885599124094209
-1.4189622584750692,-1.4884691820773952
-1.4189952274395186,-1.4883784517453695
-1.4190281964039675,-1.4882877214133439
-1.4190611653684166,-1.4881969910813182
-1.419094134332866,-1.488106260749293
-1.419127103297315,-1.4880155304172673
-1.419160072261764,-1.4879248000852419
-1.419193041226213,-1.4878340697532162
-1.4192260101906624,-1.4877433394211905
-1.4192589791551113,-1.487652609089165
-1.4192919481195605,-1.4875618787571394
-1.4193249170840097,-1.487471148425114
-1.4193578860484588,-1.4873804180930883
-1.419390855012908,-1.4872896877610626
-1.4194238239773571,-1.4871989574290372
-1.4194567929418063,-1.4871082270970115
-1.4194897619062552,-1.487017496764986
-1.4195227308707046,-1.4869267664329604
-1.4195556998351535,-1.4868360361009347
-1.4195886687996027,-1.4867453057689093
-1.4196216377640518,-1.4866545754368836
-1.419654606728501,-1.4865638451048582
-1.4196875756929501,-1.4864731147728325
-1.4197205446573993,-1.4863823844408068
-1.4197535136218484,-1.4862916541087814
-1.4197864825862974,-1.4862009237767557
-1.4198194515507467,-1.4861101934447303
-1.4198524205151957,-1.4860194631127046
-1.4198763481781997,-1.4860137019721695
-1.4199002758412038,-1.486007940831634
-1.419924203504208,-1.486002179691099
-1.4199481311672117,-1.4859964185505636
-1.419972058830216,-1.4859906574100283
-1.41999598649322,-1.4859848962694933
-1.420019914156224,-1.485979135128958
-1.420043841819228,-1.4859733739884229
-1.420067769482232,-1.4859676128478874
-1.4200916971452362,-1.4859618517073523
-1.42011562480824,-1.4859560905668172
-1.4201395524712441,-1.4859503294262817
-1.4201634801342482,-1.4859445682857466
-1.4201874077972523,-1.4859388071452113
-1.4202113354602561,-1.485933046004676
-1.4202352631232602,-1.485927284864141
-1.4202591907862643,-1.4859215237236056
-1.4202831184492681,-1.4859157625830703
-1.4203070461122724,-1.485910001442535
-1.4203309737752763,-1.485904240302
-1.4203549014382806,-1.485898479161465
-1.4203788291012844,-1.4858927180209294
-1.4204027567642885,-1.4858869568803943
-1.4204266844272926,-1.485881195739859
-1.4204506120902964,-1.4858754345993237
-1.4204745397533005,-1.4858696734587886
-1.4204984674163046,-1.4858639123182533
-1.4205223950793087,-1.4858581511777182
-1.4205463227423127,-1.4858523900371827
-1.4205702504053166,-1.4858466288966476
-1.4205941780683207,-1.4858408677561123
